A;B;C;D
%1 has been added to your Wish List.;%1 je premešteno u listu želja.;module;Magento_Wishlist
"Click <a href=""%1"">here</a> to continue shopping.";"Kliknite <a href=""%1"">ovde</a> kako bi nastavili kupovati.";module;Magento_Wishlist
See Details;Pogledajte detalje;module;Magento_Wishlist
Options Details;Mogućnosti detalja;module;Magento_Wishlist
RSS link to %1's wishlist;RSS poveznika za %1's listu želja;module;Magento_Wishlist
RSS Feed;RSS Feed;module;Magento_Wishlist
Product;Proizvod;module;Magento_Wishlist
Add to Wish List;Dodajte na listu želja;module;Magento_Wishlist
Back;Povratak;module;Magento_Wishlist
Wish List is empty now.;Što je ovo?;module;Magento_Wishlist
* Required Fields;* Obavezna polja;module;Magento_Wishlist
Sharing Information;Deljenje podataka;module;Magento_Wishlist
Email addresses, separated by commas;e-mail adrese, odvojene zarezima;module;Magento_Wishlist
Check here to link an RSS feed to your Wish List.;Kliknite ovde kako bi povezali RSS feed s Vašom listom želja;module;Magento_Wishlist
Last Added Items;Zadnji dodati proizvodi;module;Magento_Wishlist
Remove This Item;Uklonite proizvod;module;Magento_Wishlist
Go to Wish List;Idite na listu želja;module;Magento_Wishlist
You have no items in your wish list.;Nemate proizvoda u Vašoj listi želja;module;Magento_Wishlist
Credit card type;Vrsta kreditne kartice;module;Magento_Worldpay
CVV result;CVV rezultat;module;Magento_Worldpay
Postcode AVS check;AVS provera poštanskog broja;module;Magento_Worldpay
Address AVS check;AVS provera adrese;module;Magento_Worldpay
Country comparison check;Provera poređenja zemlje;module;Magento_Worldpay
Risk Score;Ocena rizika;module;Magento_Worldpay
Not supported;Nije podržano;module;Magento_Worldpay
Not checked;Nije provereno;module;Magento_Worldpay
Matched;Podudara;module;Magento_Worldpay
Not matched;Ne podudara;module;Magento_Worldpay
Partially matched;Delomično se podudara;module;Magento_Worldpay
No such order id.;Ne postoji takav id narudžbine.;module;Magento_Worldpay
Gateway response is not valid.;Odgovor modula plaćanja nije valjan.;module;Magento_Worldpay
Wrong response type;Pogrešna vrsta odgovora;module;Magento_Worldpay
Currency doesn't match.;Valuta ne odgovara.;module;Magento_Worldpay
Amount doesn't match.;Iznos ne odgovara.;module;Magento_Worldpay
Not supported response.;Odgovor nije podržan.;module;Magento_Worldpay
Gateway processing error.;Greška u obradi modula plaćanja.;module;Magento_Worldpay
Transaction was not placed.;Transakcija nije postavljena.;module;Magento_Worldpay
None;Nijedan;module;Magento_Worldpay
Authorize;Odobrite;module;Magento_Worldpay
Authorize and Capture;Odobrite i zabeležite;module;Magento_Worldpay
Refused;Odbijen;module;Magento_Worldpay
Authorised;Odobren;module;Magento_Worldpay
Error;Greška;module;Magento_Worldpay
Captured;Zabeleženo;module;Magento_Worldpay
Payment was canceled;Plaćanje je otkazano;module;Magento_Worldpay
Please;Molimo Vas;module;Magento_Worldpay
continue shopping;nastavite kupovinu;module;Magento_Worldpay
Your payment has been successfully processed by our shop system.;Vaše plaćanje je uspešno obrađeno od strane našeg sistema prodavnice.;module;Magento_Worldpay
Please click;Molimo kliknite;module;Magento_Worldpay
here;ovde;module;Magento_Worldpay
if you are not redirected automatically.;ako niste automatski preusmereni.;module;Magento_Worldpay
Now Shopping by;Trenutna kupovina po;theme;frontend/Magento/luma
Previous;Prethodni;theme;frontend/Magento/luma
Remove;Uklonite;theme;frontend/Magento/luma
Remove This Item;Uklonite ovaj proizvod;theme;frontend/Magento/luma
Shop By;Kupujte po;theme;frontend/Magento/luma
Clear All;Očistite sve;theme;frontend/Magento/luma
Shopping Options;Mogućnosti kupovine;theme;frontend/Magento/luma
Place Order;Naručite;module;Magento_Authorizenet
Credit Card Information;Podaci o kreditnoj kartici;module;Magento_Braintree
What is this?;Što je ovo?;module;Magento_Braintree
Save for later use.;Spremite za kasniju upotrebu.;module;Magento_Braintree
Place Order;Naručite;module;Magento_Braintree
Attention: Captcha is case sensitive.;Pažnja: Captcha je osetljiva na velika i mala slova.;module;Magento_Captcha
Payment Transaction Failed Reminder;Podsetnik za neuspešnu transakciju plaćanja;module;Magento_Checkout
Payment Transaction Failed;Neuspešna transakcija plaćanja;module;Magento_Checkout
Reason;Razlog;module;Magento_Checkout
Checkout Type;Vrsta naplate;module;Magento_Checkout
Customer:;Korisnik:;module;Magento_Checkout
Items;Proizvodi;module;Magento_Checkout
Total:;Ukupno:;module;Magento_Checkout
Billing Address:;Adresa naplate:;module;Magento_Checkout
Shipping Address:;Adresa dostave:;module;Magento_Checkout
Shipping Method:;Način dostave:;module;Magento_Checkout
Payment Method:;Način plaćanja:;module;Magento_Checkout
Date & Time:;Datum i vrijeme:;module;Magento_Checkout
Sign In;Prijavite se;module;Magento_Checkout
Email Address;e-mail adresa;module;Magento_Checkout
Password;Lozinka;module;Magento_Checkout
Forgot Your Password?;Zaboravili ste lozinku?;module;Magento_Checkout
My billing and shipping address are the same;Moja adresa naplate i dostave je ista;module;Magento_Checkout
Update;Ažurirajte;module;Magento_Checkout
Cancel;Otkažite;module;Magento_Checkout
Save in address book;Spremite u adresar;module;Magento_Checkout
Estimated Total;Procenjena ukupna vrednost;module;Magento_Checkout
You can create an account after checkout.;Možete kreirati profil posle naplate.;module;Magento_Checkout
You already have an account with us. Sign in or continue as guest.;Već imate profil kod nas. Prijavite se ili nastavite kao gost.;module;Magento_Checkout
Login;Prijava;module;Magento_Checkout
Close;Zatvorite;module;Magento_Checkout
item;proizvod;module;Magento_Checkout
items;proizvodi;module;Magento_Checkout
Go to Checkout;Idite na naplatu;module;Magento_Checkout
Recently added item(s);Nedavno dodati proizvod/i;module;Magento_Checkout
View and edit cart;Pregledajte i uredite korpu;module;Magento_Checkout
See Details;Pogledajte detalje;module;Magento_Checkout
Options Details;Mogućnosti detalja;module;Magento_Checkout
Remove;Uklonite;module;Magento_Checkout
Cart Subtotal;Ukupna vrednost korpe;module;Magento_Checkout
No Payment Methods;Nema načina plaćanja;module;Magento_Checkout
Payment Information;Podaci o plaćanju;module;Magento_Checkout
No Payment method available.;Nema dostupnih načina plaćanja.;module;Magento_Checkout
You can track your order status by creating an account.;Možete pratiti Vaš status narudžbine kreiranjem profila.;module;Magento_Checkout
Place Order;Naručite;module;Magento_Checkout
Forgot an Item?;Zaboravili ste proizvod?;module;Magento_Checkout
Edit Your Cart;Uredite svoju korpu;module;Magento_Checkout
Ship Here;Dostavi ovde;module;Magento_Checkout
Ship To:;Pošaljite na:;module;Magento_Checkout
edit;Uredite;module;Magento_Checkout
Shipping Address;Adresa dostave;module;Magento_Checkout
New Address;Nova adresa;module;Magento_Checkout
Shipping Methods;Načini dostave;module;Magento_Checkout
Select Method;Odaberite način;module;Magento_Checkout
Method Title;Naslov način;module;Magento_Checkout
Carrier Title;Naslov dostavljača;module;Magento_Checkout
Next;Sledeći;module;Magento_Checkout
Sorry, no quotes are available for this order at this time;Oprostite, u ovom trenutku nijedna narudžbina nije dostupna za ovu narudžbinu ;module;Magento_Checkout
Order Summary;Izveštaj narudžbine;module;Magento_Checkout
Item in Cart;proizvod u korpi;module;Magento_Checkout
Items in Cart;proizvod(a) u korpi;module;Magento_Checkout
View Details;Pregledajte detalje;module;Magento_Checkout
Contact Form;Kontakt obrazac;module;Magento_Contact
Name: %name;Ime: %name;module;Magento_Contact
Email: %email;e-mail: %e-mail;module;Magento_Contact
Phone Number: %telephone;Telefonski broj: %telephone;module;Magento_Contact
Comment: %comment;Komentar: %comment;module;Magento_Contact
Store Credit update;Ažuriranje kredita trgovine;module;Magento_CustomerBalance
%name,;%name,;module;Magento_CustomerBalance
"We have updated your <a href=""%store_url"">%store_name</a> account and you have credit that you can use for future purchases.";"Ažurirali ste Vaš <a href=""%store_url"">%store_name</a> profil i imate kredit koji možete koristiti za kupovinu u budućnosti.";module;Magento_CustomerBalance
Your Store Credit balance is now %balance.;Vaš trgovinski kredit je trenutno %balance.;module;Magento_CustomerBalance
Store credit;Trgovinski kredit;module;Magento_CustomerBalance
Store credit available;Dostupnost trgovinskog kredita;module;Magento_CustomerBalance
Welcome to %store_name;Dobro došli u %store_name;module;Magento_Customer
%name,;%name,;module;Magento_Customer
Welcome to %store_name.;Dobro došli u %store_name.;module;Magento_Customer
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:";"Za prijavu na našu stranicu, koristite ove podatke tokom provere ili na stranici <a href=""%customer_url"">Moj profil</a> :";module;Magento_Customer
Email:;e-mail:;module;Magento_Customer
Password:;Lozinka:;module;Magento_Customer
Password you set when creating account;Lozinka koju ste stvorili kada ste stvarali profil;module;Magento_Customer
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.";"Zaboravili ste Vašu lozinku? Kliknite <a href=""%reset_url"">ovde</a> kako bi je resetovali.";module;Magento_Customer
When you sign in to your account, you will be able to:;Kada se prijavite na Vaš profil, moći ćete:;module;Magento_Customer
Proceed through checkout faster;Produžite kroz proveru brže;module;Magento_Customer
Check the status of orders;Proverite status narudžbine;module;Magento_Customer
View past orders;Vidite prošle narudžbine;module;Magento_Customer
Store alternative addresses (for shipping to multiple family members and friends);Spremite alternativnu adresu (za slanje članovima porodice i prijateljima);module;Magento_Customer
Please confirm your %store_name account;Potvrdite Vaš profil na %store_name;module;Magento_Customer
You must confirm your %customer_email email before you can sign in (link is only valid once):;potvrdite Vaš %customer_e-mail e-mail kako biste se mogli prijaviti (link je valjanasamo prvi put):;module;Magento_Customer
Confirm Your Account;Potvrdite Vaš e-mail;module;Magento_Customer
Thank you for confirming your %store_name account.;Hvala Vam što ste potvrdili Vaš %store_name profil.;module;Magento_Customer
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:";"Kako bi se prijavili na našu stranicu i postavili lozinku, kliknite na <a href=""%create_password_url"">link</a>:";module;Magento_Customer
Your %store_name email has been changed;Vaš %store_name e-mail je promenjen.;module;Magento_Customer
Hello,;Pozdrav,;module;Magento_Customer
We have received a request to change the following information associated with your account at %store_name: email.;Primili smo zahtev za menjanje sledećih informacija povezanih s Vašim profilom na %store_name: e-mail.;module;Magento_Customer
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>";"Ukoliko Vi niste odobrili ovu akciju, molimo kontaktirajte nas odmah na <a href=""mailto:%store_e-mail"">%store_e-mail</a>";module;Magento_Customer
"or call us at <a href=""tel:%store_phone"">%store_phone</a>";"ili nas pozovite <a href=""tel:%store_phone"">%store_phone</a>";module;Magento_Customer
Thanks,<br>%store_name;Hvala,<br>%store_name;module;Magento_Customer
Your %store_name email and password has been changed;Vaš %store_name e-mail i šifra je promenjena;module;Magento_Customer
We have received a request to change the following information associated with your account at %store_name: email, password.;Primili smo zahtev za promenu sledećih informacija povezanih s Vašim profilom %store_name: e-mail, lozinka.;module;Magento_Customer
Reset your %store_name password;Resetujte %store_name lozinku;module;Magento_Customer
There was recently a request to change the password for your account.;Nedavno se pojavio zahtev za promenom lozinke za Vaš profil.;module;Magento_Customer
If you requested this change, set a new password here:;Ako ste Vi poslali ovaj zahtev za promenu, postavite novu lozinku ovde:;module;Magento_Customer
If you did not make this request, you can ignore this email and your password will remain the same.;Ukoliko niste stvorili ovaj zahtev, ignorišite ovaj e-mail i Vaša lozinka će ostati nepromenjena.;module;Magento_Customer
Your %store_name password has been changed;Vaša %store_name lozinka je promenjena.;module;Magento_Customer
We have received a request to change the following information associated with your account at %store_name: password.;Primili smo zahtev za promenu sledećih informacija povezanih s Vašim profilom %store_name: password.;module;Magento_Customer
Checkout out as a new customer;Provera kao novi korisnik;module;Magento_Customer
Creating an account has many benefits:;Stvaranje novog profila ima mnoge prednosti:;module;Magento_Customer
See order and shipping status;Pregledajte narudžbinu i status pošiljke;module;Magento_Customer
Track order history;Pratite istoriju narudžbine;module;Magento_Customer
Check out faster;Proverite brže;module;Magento_Customer
Checkout out using your account;Proverite koristeći svoj profil;module;Magento_Customer
Email Address;Adresa e-maila;module;Magento_Customer
Place Order;Naručite;module;Magento_Cybersource
Currency Update Warnings;Ažuriranja upozorenja valute;module;Magento_Directory
Footer;Podnožje;module;Magento_Email
Thank you, %store_name;Hvala Vam, %store_name;module;Magento_Email
Header;Zaglavlje;module;Magento_Email
You've been sent a gift from %store_name;Poslali ste poklon od %store_name;module;Magento_GiftCardAccount
%name,;%name,;module;Magento_GiftCardAccount
You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.;Poslali ste poklon karticu u %store_name i sada je spremna za korištenje u kupovini.;module;Magento_GiftCardAccount
Gift Card Code: %code;Kod poklon kartice: %code;module;Magento_GiftCardAccount
The card has a balance of %balance and can be used at;Kartica ima stanje računa od %balance i može biti korišćena u;module;Magento_GiftCardAccount
%store_name;%store_name;module;Magento_GiftCardAccount
Apply Gift Card;Primenite poklon karticu;module;Magento_GiftCardAccount
Gift Card:;Poklon kartica:;module;Magento_GiftCardAccount
Apply;Primijenite;module;Magento_GiftCardAccount
See Balance;Pogledajte stanje računa;module;Magento_GiftCardAccount
Gift Card amount applied to order:;Iznos poklon kartice je primenjen na narudžbinu:;module;Magento_GiftCardAccount
You've been sent a gift from %store_name;Dobili ste poklon od %store_name;module;Magento_GiftCard
%name,;%name,;module;Magento_GiftCard
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.";"%sender Vam je poslao poklon karticu za korištenje u <a href=""%store_url"">%store_name</a> i sada je spremna za korišćenje prilikom kupovine.";module;Magento_GiftCard
Gift Card Codes:;Kodovi poklon kartice:;module;Magento_GiftCard
Gift Card Code:;Kod poklon kartice:;module;Magento_GiftCard
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.";"Svaka kartice ima saldo od %balance koji može biti korišćen u <a href=""%store_url"">%store_name</a>.";module;Magento_GiftCard
"The card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.";"Kartica ima stanje računa od %balance koji može biti korišćen <a href=""%store_url"">%store_name</a>.";module;Magento_GiftCard
Click on the code(s) above to redeem them into Store Credit.;Kliknite na kod/ove pored da ih otkupite u trgovinski kredit.;module;Magento_GiftCard
Message from %sender_name:;Imate poruku od %sender_name:;module;Magento_GiftCard
Gift Message (optional);Poklon poruka (opcionalno);module;Magento_GiftMessage
To:;Prima:;module;Magento_GiftMessage
From:;Šalje:;module;Magento_GiftMessage
Message:;Poruka:;module;Magento_GiftMessage
Update;Ažuriranje;module;Magento_GiftMessage
Gift options;Opcije poklona;module;Magento_GiftMessage
Edit;Uredite;module;Magento_GiftMessage
Delete;Obriši;module;Magento_GiftMessage
Gift Registry created at %store_name;Registar poklona stvoren u %store_name;module;Magento_GiftRegistry
%name,;%name,;module;Magento_GiftRegistry
"You have successfully created the new gift registry ""%registry_name"".";"Uspešno ste stvorili novi registar poklona ""%registry_name"".";module;Magento_GiftRegistry
Your Gift Registry Message;Vaša poruka registra poklona;module;Magento_GiftRegistry
Now you can add products to your gift registry.;Sada možete dodati proizvode u Vaš registar poklona;module;Magento_GiftRegistry
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.";"Jednostavno pretraživanje za <a href=""%store_url"">%store_name</a> i dodavanje proizvoda koje želite u vašu korpu za kupovinu ili na listu želja.";module;Magento_GiftRegistry
You can then add the products to your registry from your shopping cart or wish list page.;Možete dodati proizvode u Vaš registar iz korpe ili iz liste želja.;module;Magento_GiftRegistry
You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.;Također možete podeliti to sa svojim prijateljima i porodicom tako što ćete se ulogovati u Vaš profil i posetili opciju registra poklona.;module;Magento_GiftRegistry
Or you can email the following link and gift registry ID to them:;Ili možete poslati e-mail na sledeću link i ID registra poklona njima:;module;Magento_GiftRegistry
Registry Location:;Lokacija registra:;module;Magento_GiftRegistry
Registry ID:;ID registra:;module;Magento_GiftRegistry
Gift Registry shared at %store_name;Registar poklona je podeljen %store_name;module;Magento_GiftRegistry
You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.;Možete pregledati i kupiti proizvode iz ovog registra poklona <a href='%account_url'>%store_name</a>.;module;Magento_GiftRegistry
Gift Registry:;Registar poklona:;module;Magento_GiftRegistry
Created For:;Stvoreno za:;module;Magento_GiftRegistry
You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.;Možete stvoriti Vaš registar poklona<a href='%account_url'>%store_name</a> i podeliti ih s Vašom porodicom i prijateljima.;module;Magento_GiftRegistry
Gift Registry updated at %store_name;Registar poklona ažuriran na %store_name;module;Magento_GiftRegistry
"The following items have been purchased from your gift registry ""%registry_name"":";"Sledeći proizvodi su kupljeni iz Vašeg registra poklona ""%registry_name"":";module;Magento_GiftRegistry
You can sign in to your account to view more details about this gift registry.;Možete se prijaviti na Vaš profil da vidite više detalja o registru poklona.;module;Magento_GiftRegistry
Ship to Recipient Address;Šalji na adresu primaoca;module;Magento_GiftRegistry
Ship Here;Šalji ovde;module;Magento_GiftRegistry
Recipient Address;Adresa primaoca;module;Magento_GiftRegistry
Gift wrapping;Ukrasno pakovanje poklona;module;Magento_GiftWrapping
Printed card;Ispisana kartica;module;Magento_GiftWrapping
Gift receipt;Račun poklona;module;Magento_GiftWrapping
Pick a paper of your choice (optional);Odaberite papir (nije obavezno);module;Magento_GiftWrapping
No image;Nema slike;module;Magento_GiftWrapping
Remove;Uklonite;module;Magento_GiftWrapping
Gift Receipt;Račun poklona;module;Magento_GiftWrapping
%inviter_name invites you to join Private Sales Site;%inviter_name Vas poziva da se pridružite stranici privatne prodaje;module;Magento_Invitation
Invite to join Private Sales Site;Pozovite na stranicu privatne prodaje;module;Magento_Invitation
Please accept this invitation to join %store_name.;Prihvatite poziv za pridruživanje %store_name.;module;Magento_Invitation
%store_name offers limited time sales of products only to members.;%store_name nudi prodaju proizvoda samo za članove na određeno vreme.;module;Magento_Invitation
Please use the following link to create an account and view the deals:;Kliknite na link kako bi kreirali profil i pregledavali ponude:;module;Magento_Invitation
Newsletter subscription confirmation;Potvrda za pretplatu na newsletter;module;Magento_Newsletter
Thank you for subscribing to our newsletter.;Hvala Vam što ste se pretplatili na naš newsletter.;module;Magento_Newsletter
To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:;Kako biste primali newsletter, prvo potvrdite pretplatu putem linka:;module;Magento_Newsletter
Newsletter subscription success;Uspešna pretplata na newsletter;module;Magento_Newsletter
You have been successfully subscribed to our newsletter.;Uspešno ste se pretplatili na newsletter.;module;Magento_Newsletter
Newsletter unsubscription success;Uspešno ste odjavili pretplatu na newsletter;module;Magento_Newsletter
You have been unsubscribed from the newsletter.;Odjavili ste pretplatu na newsletter.;module;Magento_Newsletter
Place Order;Naručite;module;Magento_OfflinePayments
Place Order;Naručite;module;Magento_Payment
Forgot an Item?;Jeste li zaboravili proizvod?;module;Magento_Payment
Edit Your Cart;Uredite korpu;module;Magento_Payment
Sign a billing agreement to streamline further purchases with PayPal.;Potvrdite sporazum o naplati kako bi kupovali putem PayPala.;module;Magento_Paypal
Continue to PayPal;Nastavite na PayPal;module;Magento_Paypal
Save credit card information for future use.;Spremite informacije o kreditnoj kartici za buduću upotrebu.;module;Magento_Paypal
Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.;"Označite ""Zapamti me"" kako bi imali pristup korpi i ako niste prijavljeni.";module;Magento_Persistent
Product alerts Cron error;Proizvod upozorava na grešku Crona;module;Magento_ProductAlert
Product alerts cron warnings;Upozorenja proizvoda na cron;module;Magento_ProductAlert
Products price changed alert;Upozorenje na promenu cene proizvoda;module;Magento_ProductAlert
%name,;%ime,;module;Magento_ProductAlert
Products back in stock alert;Proizvodi vraćeni na upozoravanje o zalihama;module;Magento_ProductAlert
Promotion reminder at %store_name;Podsetnik za promocije u %store_name;module;Magento_Reminder
%name,;%ime,;module;Magento_Reminder
Hurry up to take advantage of our %promotion_name promotion!;Požurite kako bi iskoristili %promotion_name promotion!;module;Magento_Reminder
Hurry up to take advantage of this promotion!;Požurite kako bi iskoristili promociju!;module;Magento_Reminder
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.";"Prijavite se na <a href=""%account_url"">%store_name</a> kako bi iskoristili promociju i kupon""%coupon_code"" u korpi.";module;Magento_Reminder
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a>";"Prijavite se na <a href=""%account_url"">%store_name</a> kako bi iskoristili promociju";module;Magento_Reminder
This coupon can be used only up to %coupon_limit time(s) by you or other customers.;Ovaj se kupon može upotrijebiti samo %coupon_limit time puta.;module;Magento_Reminder
You can use this coupon up to %coupon_limit time(s).;Ovaj se kupon može upotrijebiti samo %coupon_limit time puta.;module;Magento_Reminder
Reward Points Balance Updated at %store_name;Ažurirani nagradni bodovi u trgovini %store_name;module;Magento_Reward
%name,;%ime,;module;Magento_Reward
You have %points_balance points that may be used in our store:;Imate %points_balance bodova koje možete iskoristi u prodavnici:;module;Magento_Reward
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.";"<a href=""%unsubscription_url"">Odjavite se/a> od upozorenja.";module;Magento_Reward
Reward Points Expiry Warning at %store_name;Upozorenje na istek nagradnih bodova u  %store_name trgovini;module;Magento_Reward
There are %remaining_days day(s) remaining to use %points_expiring of your reward points.;Imate još %remaining_days dana kako bi iskoristili %points_expiring nagradne bodove.;module;Magento_Reward
After %remaining_days day(s) these points will expire.;Bodovi će isteći nakon %remaining_days dana.;module;Magento_Reward
You have a total of %points_balance points that may be used in our store:;Imate ukupno %points_balance bodova koje možete iskoristiti u prodavnici:;module;Magento_Reward
Reward points;Nagradni bodovi;module;Magento_Reward
Use reward points;Iskoristite nagradne bodove;module;Magento_Reward
%store_name:  New customer comment;%store_name: Novi korisnički komentar;module;Magento_Rma
New Comment for RMA #%increment_id;Novi komentar za RMA #%increment_id;module;Magento_Rma
Customer %name has left a new comment:;Korisnik %name je komentarisao:;module;Magento_Rma
%store_name : New Return # %increment_id;%store_name : Novi povrat # %increment_id;module;Magento_Rma
%name,;%ime,;module;Magento_Rma
Your return request has been updated. Please see below.;Ažuriran je zahtev za povratom novca.;module;Magento_Rma
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.";"Proverite status povrata tako da se <a href=""%account_url"">prijavite</a> ili <a href=""%form_url""> koristeći broj narudžbine</a>.";module;Magento_Rma
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone";"Ukoliko imate pitanja, kontaktirajte nas na  <a href=""mailto:%support_e-mail"">%support_e-mail</a> ili telefonom %store_phone";module;Magento_Rma
Your Return #%increment_id - %status_label;Povrat #%increment_id - %status_label;module;Magento_Rma
%store_name: New Return # %increment_id;%store_name: Novi povrat # %increment_id;module;Magento_Rma
"You can check the status of your return <a href=""%form_url"">using your order number</a>.";"Proverite status povrata <a href=""%form_url"">koristeći broj narudžbine</a>.";module;Magento_Rma
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.";"Ukoliko imate pitanja o povratu, kontaktirajte nas na <a href=""mailto:%support_e-mail"">%support_e-mail</a>.";module;Magento_Rma
%store_name: Return # %increment_id update;%store_name: Povrat # %increment_id update;module;Magento_Rma
%store_name : New Return #%increment_id;%store_name : Novi povrat #%increment_id;module;Magento_Rma
We received your return request. You will be notified when your request is reviewed.;Primili smo zahtev za povratom. Bićete obavešteni kada ga pregledamo.;module;Magento_Rma
Placed on %created_at;Smešten na %created_at;module;Magento_Rma
Apply Discount Code;Iskoristite kupon za popust;module;Magento_SalesRule
Enter discount code;Unesite kod popusta;module;Magento_SalesRule
Apply Discount;Iskoristite popust;module;Magento_SalesRule
Cancel coupon;Otkažite kupon;module;Magento_SalesRule
Credit memo for your %store_name order;Novčani izveštaj %store_name za narudžbinu ;module;Magento_Sales
%name,;%ime,;module;Magento_Sales
Thank you for your order from %store_name.;hvala na narudžbini!;module;Magento_Sales
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.";"Proverite status narudžbine tako da se <a href=""%account_url"">prijavite</a>.";module;Magento_Sales
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>";"Ukoliko imate pitanja o Vašoj narudžbini, možete nas kontaktirati na e-mail <a href=""mailto:%store_e-mail"">%store_e-mail</a>";module;Magento_Sales
"or call us at <a href=""tel:%store_phone"">%store_phone</a>";"ili nas nazovite na <a href=""tel:%store_phone"">%store_phone</a>";module;Magento_Sales
"Our hours are <span class=""no-link"">%store_hours</span>.";"Radno vreme je <span class=""no-link"">%store_hours</span>.";module;Magento_Sales
Your Credit Memo #%creditmemo_id for Order #%order_id;Novčani izveštaj #%creditmemo_id for Order #%order_id;module;Magento_Sales
Billing Info;Podaci za naplatu;module;Magento_Sales
Shipping Info;Podaci za dostavu;module;Magento_Sales
Update to your %store_name credit memo;Ažurirajte novčani izveštaj od %store_name;module;Magento_Sales
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.;Kreirana je narudžba #%increment_id sa statusom <strong>%order_status</strong>.;module;Magento_Sales
Invoice for your %store_name order;%store_name: račun za Vašu narudžbinu;module;Magento_Sales
Your Invoice #%invoice_id for Order #%order_id;Račun  #%invoice_id za narudžbinu #%order_id;module;Magento_Sales
Update to your %store_name invoice;Ažurirajte %store_name račun;module;Magento_Sales
Your %store_name order confirmation;Potvrda Vaše narudžbine iz%store_name;module;Magento_Sales
%customer_name,;%customer_name,;module;Magento_Sales
Once your package ships we will send you a tracking number.;Poslaćemo Vam broj za praćenje nakon što se paket pošalje.;module;Magento_Sales
"Your Order <span class=""no-link"">#%increment_id</span>";"Vaša narudžbina <span class=""no-link"">#%increment_id</span>";module;Magento_Sales
"Placed on <span class=""no-link"">%created_at</span>";"Smešteno na <span class=""no-link"">%created_at</span>";module;Magento_Sales
Once your package ships we will send an email with a link to track your order.;Poslaćemo Vam broj za praćenje nakon što se paket pošalje.;module;Magento_Sales
Update to your %store_name order;Ažurirajte narudžbinu %store_name;module;Magento_Sales
Your %store_name order has shipped;Poslata je narudžbina iz %store_name;module;Magento_Sales
Your shipping confirmation is below. Thank you again for your business.;Potvrda o slanju pošiljke je u nastavku. Hvala na kupovini, Vaša Avalapress!;module;Magento_Sales
Your Shipment #%shipment_id for Order #%order_id;Vaša pošiljka #%shipment_id za narudžbinu #%order_id;module;Magento_Sales
Update to your %store_name shipment;Ažurirajte %store_name pošiljku;module;Magento_Sales
%store_name - Scheduled Export Failed;%store_name - neuspešan planirani izvoz;module;Magento_ScheduledImportExport
%operation_name - Scheduled Export Failed;%operation_name - neuspešan planirani izvoz;module;Magento_ScheduledImportExport
Operation name:;Ime radnje:;module;Magento_ScheduledImportExport
Entity type:;Vrsta subjekta:;module;Magento_ScheduledImportExport
File history path:;Putanja istorije dokumenta:;module;Magento_ScheduledImportExport
Date & Time:;Datum i vreme:;module;Magento_ScheduledImportExport
Log trace:;Prijava traga:;module;Magento_ScheduledImportExport
Scheduled Import/Export File History Cleanup Warnings;Planirano za uvoz/izvoz dokumenta istorija čišćenja upozorenja;module;Magento_ScheduledImportExport
%store_name  - Scheduled Import Failed;%store_name  - planirani uvoz nije uspeo;module;Magento_ScheduledImportExport
%operation_name - Scheduled Import Failed;%operation_name - planirani uvoz nije uspeo;module;Magento_ScheduledImportExport
Welcome, %name;Dobrodošli, %name;module;Magento_SendFriend
%name,;%name,;module;Magento_SendFriend
%sender_name wants to share this product with you:;%sender_name želi podeliti ovaj proizvod s vama:;module;Magento_SendFriend
Message from %sender_name:;Poruka od %sender_name:;module;Magento_SendFriend
See our Shipping Policy;Pogledajte uslove dostave;module;Magento_Shipping
Sitemap generate Warnings;Sitemap generisanje upozorenja;module;Magento_Sitemap
Sitemap Generation Warnings;Sitemap generisanje upozorenja;module;Magento_Sitemap
Start;Početak;module;Magento_Staging
